iter	RMSE
0	0.1617641379
1	0.1333230028
2	0.1172218715
3	0.108163568
4	0.1035716102
5	0.1009362633
6	0.09927157947
7	0.09841501136
8	0.09784652485
9	0.09748669977
10	0.09712464407
11	0.09680525484
12	0.09652008577
13	0.09628010817
14	0.09600900914
15	0.09575131731
16	0.09557104066
17	0.09538065021
18	0.09506781938
19	0.09488334758
20	0.09467087459
21	0.09442058831
22	0.09426587094
23	0.09399000525
24	0.09379478756
25	0.09351406931
26	0.09326264527
27	0.09315976037
28	0.09302564621
29	0.09279999605
30	0.09263234362
31	0.09226354118
32	0.09205909192
33	0.09180900993
34	0.0916280357
35	0.09145012457
36	0.09121214429
37	0.0909528504
38	0.09072237623
39	0.09053435519
40	0.09028115296
41	0.08997451895
42	0.08974108875
43	0.08949619214
44	0.08925892242
45	0.08906899952
46	0.08888964618
47	0.08863187396
48	0.08838733563
49	0.08813544651
50	0.08801156913
51	0.08776829636
52	0.08750449942
53	0.0872161013
54	0.08694981353
55	0.08678091202
56	0.08652338745
57	0.08635178487
58	0.08619145502
59	0.08590796856
60	0.08565889725
61	0.08533596537
62	0.0851989775
63	0.085079712
64	0.08484570359
65	0.08460449842
66	0.08442435503
67	0.08428988467
68	0.08414223553
69	0.08392376033
70	0.08371902521
71	0.08354168065
72	0.0833523847
73	0.08317194656
74	0.08296049024
75	0.08278201831
76	0.08260681467
77	0.08237488398
78	0.08218295134
79	0.08194969714
80	0.08170684262
81	0.08155864714
82	0.08142065964
83	0.08122290192
84	0.08096232709
85	0.08080278399
86	0.08056900196
87	0.08037441499
88	0.08018138906
89	0.08000744886
90	0.0798015882
91	0.07959716533
92	0.0793560478
93	0.07922063024
94	0.07899546573
95	0.07878753914
96	0.07859495813
97	0.07841793716
98	0.07821610943
99	0.07798039492
